NomeEstacao;CodEstacao;Bacia;SubBacia;Operadora;Responsavel;Municipio-UF;Latitude;Longitude;Altitude;CodRio;NomeRio;Origem;StatusEstacao
UHE CACHOEIRA CALDEIRÃO MONTANTE 2;30200050;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;PORTO GRANDE-AP;0,7814;-51,5911;69;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
SERRA DO NAVIO;30300000;3;30;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;SERRA DO NAVIO-AP;0,9006;-52,0156;0;30860000;RIO AMAPARI;RHN;Ativo
UHE CACHOEIRA CALDEIRÃO RIO AMAPARI 2;30380000;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;PORTO GRANDE-AP;0,6439;-51,7547;73;30860000;RIO AMAPARI;Setor Elétrico;Ativo
UHE CACHOEIRA CALDEIRÃO RIO AMAPARI 1;30380900;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;PORTO GRANDE-AP;0,6567;-51,6239;76;30860000;RIO AMAPARI;Setor Elétrico;Ativo
UHE CACHOEIRA CALDEIRÃO MONTANTE 1;30400040;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;PORTO GRANDE-AP;0,7144;-51,4217;54;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE CACHOEIRA CALDEIRÃO RESERVATÓRIO;30400050;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;PORTO GRANDE-AP;0,7169;-51,4217;60;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE CACHOEIRA CALDEIRÃO BARRAMENTO;30400070;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;FERREIRA GOMES-AP;0,8522;-51,295;53;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE COARACY NUNES RESERVATÓRIO 2;30400074;3;30;00075 - ELETRONORTE - ELETRONORTE;00075 - ELETRONORTE - ELETRONORTE;FERREIRA GOMES-AP;0,8647;-51,2878;0;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE COARACY NUNES RESERVATÓRIO 1;30400076;3;30;00075 - ELETRONORTE - ELETRONORTE;00075 - ELETRONORTE - ELETRONORTE;FERREIRA GOMES-AP;0,8794;-51,2817;0;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE COARACY NUNES BARRAMENTO;30400080;3;30;00075 - ELETRONORTE - ELETRONORTE;00075 - ELETRONORTE - ELETRONORTE;FERREIRA GOMES-AP;0,9033;-51,2597;0;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE FERREIRA GOMES RESERVATÓRIO 1;30497000;3;30;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;FERREIRA GOMES-AP;0,8661;-51,2122;22;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE FERREIRA GOMES RESERVATÓRIO 2;30498000;3;30;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;FERREIRA GOMES-AP;0,9122;-51,2442;23;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
UHE FERREIRA GOMES BARRAMENTO;30510000;3;30;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;FERREIRA GOMES-AP;0,8564;-51,1975;22;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
